,prec_no,block_no
sapporo,14,47412
aomori,31,47575
sendai,34,47590
nigata,54,47604
fukui,57,47616
nagoya,51,47636
tokyo,44,47662
matsue,68,47741
osaka,62,47772
fukuoka,82,47807
kagoshima,88,47827
matsuyama,73,47887
naha,91,47936
